"br","bc","kappa","phi","nll"
8,5,2.16,1390176870621383,-8747.3826443212
9,5,2,252178710700398,-5912.18488191385
10,5,2.15,2206314449574387,-7153.03233440811
11,5,1.9,90924154390587.2,-4007.34097347913
12,5,1.92,121305306541281,-4179.19244317418
13,5,1.93,100594773455405,-5091.31574549386
14,5,2.15,4783144291280950,-5223.23828691369
15,5,1.93,26465235740196.8,-8421.47486000777
16,5,1.98,24828010274266.3,-10804.9115532275
17,5,1.99,57080126969920.9,-9173.14961582984
18,5,2.16,259416036280732,-12934.1930563958
19,5,1.65,3122062762.41877,-18461.9506275196
20,5,1.59,757860634.194039,-19295.4651507656
21,5,1.48,1052844226.02977,-13515.2624503411
22,5,2.07,118546112514914,-10901.5545456434
23,5,1.91,19865010517540.8,-8246.3615600484
24,5,1.79,714465462948.036,-11184.7068195671
25,5,1.91,5783073667931.04,-11324.0189147362
26,5,1.97,49105920221909.9,-8659.40717351245
27,5,1.9,4977795851905.1,-11252.5069867743
28,5,2.16,203533697094884,-13539.2412267578
29,5,1.68,27626279298.205,-14370.9481533019
30,5,1.79,2392617462471.05,-8170.4370723899
31,5,1.96,28257398342817.4,-9592.94641857034
32,5,2,3966761600218.42,-16267.7416582053
33,5,1.99,121063545700055,-7298.01186872342
34,5,1.55,3346695568.69248,-13789.8796235945
35,5,1.67,18876963697.0098,-14872.0109954153
36,5,2.02,20520628228699.2,-13057.1781174782
37,5,1.68,119922959117.566,-10709.5514930419
38,5,1.71,60840614243.5475,-13747.2077670509
39,5,1.84,2384594646038.47,-10412.2966938136
40,5,1.87,139908300583.591,-18823.2229193554
1,6,1.99,167241317472214,-6492.1450885214
2,6,2.01,505293242791986,-4623.05341767166
3,6,1.87,29455691709108.4,-5481.18278796961
4,6,1.98,138019664426010,-6526.64482428528
5,6,2.01,147010707648446,-7702.22940226312
6,6,1.85,25693301213686.8,-4929.84160289929
7,6,2.23,10319357456241536,-6841.43442509335
8,6,2.08,783628602814094,-6634.64394613911
9,6,2.16,3503798760179154,-6441.88725518096
10,6,1.93,21340063974578,-8958.29780827017
11,6,1.98,207627825782895,-5508.21741276105
12,6,2.17,6487795000113241,-5347.67031332164
13,6,1.89,74986646703974.3,-4042.35935695785
14,6,2.03,434285201215733,-5888.7667958684
15,6,1.88,9990816291593.56,-8623.627889795
16,6,1.64,15098478002.2623,-14081.9855280973
17,6,1.92,4148944226898.92,-12597.5813619985
18,6,2.22,5795816929663563,-7838.60015445799
19,6,1.81,949227329609.045,-11369.9356044762
20,6,2.33,2622927092740523,-14667.249815445
21,6,1.82,992498533793.408,-11705.4557835158
22,6,1.78,352808661343.125,-12497.3810136715
23,6,1.79,488154276901.607,-12134.6793049647
24,6,1.76,660202056444.321,-10039.9382003825
25,6,1.9,4474959569315.13,-11518.0927378802
26,6,1.97,23765543971146.4,-10469.4097239963
27,6,1.91,12976634151164,-9308.33058137981
28,6,2.03,28020506553711.5,-12724.2343190409
29,6,2.08,89297558323104.4,-12051.514785153
30,6,2.07,331928158090961,-8333.69090939968
31,6,2.04,321793975271062,-7080.27157711257
32,6,1.68,4648903238.06545,-18815.5956844799
33,6,2.27,10648066698592904,-8528.4462416547
34,6,1.95,67999856568747.9,-6958.00606774088
35,6,1.58,1565964002.13486,-17035.3128008239
36,6,1.84,2216908320601.75,-10594.1481336055
37,6,1.9,7052783823070.69,-10383.5095621515
38,6,1.97,20597979631311.7,-10826.1609725686
39,6,1.75,82362697322.0778,-14783.4430014183
40,6,1.87,35341568855.5531,-22254.7857379168
1,7,2.03,683473226095626,-4757.7726627509
2,7,1.94,124695901485723,-5000.75132782901
3,7,1.91,88152150068527.2,-4530.04123420737
4,7,1.9,67727173850795.5,-4741.91925698555
5,7,2.09,879806321955261,-6789.14192413047
6,7,2.03,476590489105114,-5656.93417069963
7,7,2.15,1904269661055970,-7520.2112312617
8,7,2.08,571970561386468,-7419.8740183121
9,7,2.23,10759446564171124,-6737.27844400151
10,7,1.93,24435259479640.5,-8620.50818844634
11,7,1.87,23530880571200.4,-6041.26917904032
12,7,2.09,1418159275053340,-5598.47332862216
13,7,1.91,73748660753471.5,-4974.97448489371
14,7,1.9,62223095253963.3,-4953.3138107375
15,7,2.01,169650502137219,-7345.0012479275
16,7,1.83,581699376039.116,-13484.4874685231
17,7,2.17,801100111423511,-10564.3503513899
18,7,2.01,326293550455153,-5713.7831232341
19,7,2.02,211428835771674,-7240.02828270974
20,7,2.08,258396399888009,-9401.58817335124
21,7,1.96,16467726908915.2,-10939.5886791072
22,7,1.96,12938251878731.7,-11541.1772307636
23,7,2.19,3721846159411406,-7617.79411981758
24,7,1.95,25168289949133.3,-9436.84436610118
25,7,1.77,740176628444.226,-10202.1641476699
26,7,2.01,46283877536554.2,-10584.5744872462
27,7,2.11,518670258213694,-8993.13506714217
28,7,1.98,161183973141331,-6139.70014546943
29,7,1.92,8497042067477.06,-10809.7220168921
30,7,1.78,346857770265.745,-12539.8066027048
31,7,1.95,88419079005891.4,-6303.12611998811
32,7,1.81,30563775577.8017,-19938.9026409502
33,7,1.81,153741446616.232,-15909.953455788
34,7,1.86,54614076561026.9,-3495.36164947768
35,7,1.92,36164903177334.8,-7197.48471251912
36,7,2.03,109293041418374,-9329.66062283148
37,7,1.93,16035937499890.5,-9670.96815073007
38,7,2.01,10638550480956.7,-14251.5262342406
39,7,1.88,441108766144.412,-16405.2323564246
40,7,1.83,487112852202.665,-13927.0676024548
1,8,2.08,1810689295480663,-4545.84988531494
2,8,1.99,381092185715882,-4438.07791231474
3,8,1.99,404308938275840,-4290.58778692425
4,8,1.92,118760642090756,-4232.06650448035
5,8,2.09,1487320355625627,-5479.71818593466
6,8,2.17,3503873295622633,-6884.10825868434
7,8,2.04,488289690075210,-6040.28019989624
8,8,2.08,1097951024761373,-5793.50296655955
9,8,2.04,260165463085588,-7610.48023331849
10,8,2.15,501168104932428,-10849.482383852
11,8,2.05,399044801053432,-6987.36285113395
12,8,2.12,2109164507821228,-5937.46592968129
13,8,2.25,12497912172051436,-7246.56573002103
14,8,2.07,1036729137994861,-5493.25579840133
15,8,2.07,140203502477262,-10483.0789625963
16,8,1.81,706476176876.313,-12106.5605383851
17,8,2.18,2318749654433150,-8355.89161882373
18,8,2.02,535969429879682,-4920.1377704951
19,8,2.03,194956021142535,-7886.27988960809
20,8,2.05,203646031252772,-8665.05257930201
21,8,1.86,9516347515710.72,-7853.07934398785
22,8,1.97,14979942746787.2,-11620.4521843634
23,8,1.98,292202905606031,-4656.01445713025
24,8,1.83,17555303152263,-4987.03646674323
25,8,2.01,359158891395274,-5474.44030973087
26,8,1.9,12973033546731.9,-8863.54013219675
27,8,1.97,118136712508955,-6470.01702086189
28,8,2.18,6717695620018922,-5702.98121208345
29,8,1.87,8061257355316.37,-8712.95191857233
30,8,1.98,182988239646486,-5823.27268932138
31,8,1.96,130724851106063,-5772.78828129616
32,8,2.1,423615382111994,-9055.04616251095
33,8,2.02,142952785135352,-8216.11520359218
34,8,2.02,490901477325687,-5139.19495633266
35,8,1.87,34136262518078.2,-5113.38493161739
36,8,2.1,445076071263929,-8931.79445742672
37,8,1.97,39994296730254.6,-9171.28256735097
38,8,2.12,26515646703139.4,-16851.9885061496
39,8,1.88,568002640750.348,-15774.6628948674
40,8,1.72,77282978471.5935,-13598.7227251963
1,9,2.01,259452871241556,-6285.46370232679
2,9,2.11,2864224029135535,-4731.42675642819
3,9,1.91,115449336920839,-3857.24110720196
4,9,1.86,44207364634379.5,-4022.59391314273
5,9,2.14,3709305496973601,-5414.83902186423
6,9,1.85,28941379744150.5,-4632.95062712197
7,9,2.02,258145074230018,-6742.14292695245
8,9,1.9,52188071173347,-5391.93930192679
9,9,1.94,38579514115030.3,-7926.60381832617
10,9,2.18,1117625985050146,-10176.065988138
11,9,2.06,580836415582007,-6494.70999906406
12,9,1.99,330139854248420,-4796.02910689905
13,9,2.17,2741156156736511,-7496.35838852783
14,9,2.03,389281657981968,-6161.60622043407
15,9,1.96,29260766051116.2,-9505.92511082438
16,9,1.92,8185472986243.24,-10902.8906611059
17,9,2,92048117066456.6,-8425.70430683554
18,9,1.89,67079782890896.7,-4320.2591762318
19,9,2.12,3233720897155919,-4871.6760951451
20,9,1.98,120451321910842,-6866.20408917614
21,9,1.86,27952087602906.1,-5165.84228723355
22,9,2.16,3418468262477826,-6503.37723841121
23,9,1.86,46121172230516.5,-3916.89640705581
24,9,1.92,133913561090834,-3932.57583925826
25,9,2.02,544639879427583,-4880.11485925078
26,9,2.03,518417276640638,-5447.13175140605
27,9,1.92,56156181791538.8,-6100.00588261209
28,9,1.89,55230477188672.1,-4805.01241076675
29,9,1.91,70074064456671,-5102.44304790431
30,9,2.14,5700840520926857,-4342.99522997119
31,9,1.94,149462352041332,-4548.92195174008
32,9,2.03,477613199573044,-5651.58805662785
33,9,2.03,227518132736923,-7501.06677767265
34,9,1.95,220635376503338,-4022.55344541748
35,9,2.03,525792543198640,-5411.90086136373
36,9,2.2,3548038017396032,-8178.99747720215
37,9,2.06,413863453088673,-7340.00906214063
38,9,1.95,199024339248069,-4279.64577408072
39,9,2.22,12007627832517576,-6021.95643285415
40,9,1.64,3725542302.25283,-17572.0430351268
1,10,1.89,85959140533993.9,-3701.77368021131
2,10,2.02,594583931070161,-4661.29857958287
3,10,2.1,1948993744901245,-5248.59720734063
4,10,2.1,1718620310488832,-5562.32092717019
5,10,2.03,385505565973971,-6185.91650264659
6,10,1.91,106686028754556,-4054.12141302327
7,10,2.03,499024225741446,-5542.2175668937
8,10,1.97,134685142805214,-6143.06049303588
9,10,2.09,674578272704358,-7451.58343996291
10,10,2.24,5657519403882892,-8781.89062506807
11,10,2.16,2574587712547181,-7210.43413096131
12,10,1.93,70948914315412.2,-5962.07140731602
13,10,2.02,359045891039567,-5919.30129681752
14,10,2.02,307742876303501,-6303.84016673033
15,10,2.01,183056140776327,-7155.3264752258
16,10,2.09,1572162336218634,-5341.36135574763
17,10,1.95,83123143276797.1,-6457.16705734863
18,10,1.8,8385452928113.39,-5489.65940445523
19,10,1.89,55310804971659.3,-4801.38774634966
20,10,2.09,862742784555356,-6837.98740277394
21,10,2.16,3591172785036921,-6380.45731609459
22,10,2.19,10113915700940756,-5124.56116661637
23,10,1.78,7632268579670.15,-4830.28997674456
24,10,2.08,2289349461570097,-3960.85699522374
25,10,1.93,95693818917497.3,-5215.88255176113
26,10,2.04,580796311726530,-5607.59300686412
27,10,1.99,335997713754360,-4752.16465933422
28,10,1.81,7849142886630.55,-6101.33241729831
29,10,1.96,58290205384408.9,-7787.0939811612
30,10,2.02,471966783448099,-5237.29605084362
31,10,2.05,842476883733334,-5123.66516077436
32,10,1.94,79906506162535.5,-6110.63297077788
33,10,2.03,178557221306184,-8105.41490814557
34,10,1.87,85444003360851.8,-2825.13745329277
35,10,1.96,251944544119707,-4136.43931887789
36,10,2.03,296529974214348,-6840.36036975878
37,10,2.03,934808005674965,-3976.76737721985
38,10,1.8,16449643863656.6,-3809.18869429895
39,10,1.78,12656455657.7803,-20796.8106140217
40,10,1.9,146119206248.176,-20052.1363243168
1,11,2.14,2830547064793300,-6089.15342247483
2,11,2.1,1485767160516539,-5925.42383020426
3,11,2.05,932185073486738,-4871.30940283576
4,11,2,221938940898769,-6230.75772412489
5,11,1.95,178169874563435,-4555.70583190191
6,11,2.03,992272504071764,-3827.98380542878
7,11,1.97,173845361746924,-5506.52585258143
8,11,2.05,382695508094149,-7091.69694433318
9,11,1.97,81856530896645.2,-7385.0018810535
10,11,2.06,542628660019522,-6664.41159023072
11,11,2.13,1317217681709937,-7554.30963773148
12,11,2.11,2498904400464108,-5071.72076723831
13,11,1.98,98258008385613.2,-7374.10456063789
14,11,1.89,70089006362790.6,-4210.81434214856
15,11,2.04,890646913708941,-4541.28840743532
16,11,2.03,926250516598924,-3999.70327946921
17,11,2.13,3011001440965387,-5492.39256161099
18,11,2.13,1295728613527317,-7595.33225229687
19,11,1.87,36134875408666.5,-4971.48071962643
20,11,2.08,902163342328760,-6283.33809478363
21,11,1.98,232932188414622,-5221.40692272421
22,11,1.96,142595498603492,-5556.01678499764
23,11,1.93,129464897920513,-4462.05589420516
24,11,1.99,273073174441835,-5269.33186728535
25,11,1.88,29015341795942.5,-5964.62879691274
26,11,2.01,323237895841746,-5737.24883492399
27,11,2,377117083938780,-4908.55513538751
28,11,1.96,99771730508243.9,-6446.69167048197
29,11,2.24,14644563619963436,-6409.88799111817
30,11,1.96,206452439676610,-4633.09181214042
31,11,2.07,1262040804747426,-5002.78725591143
32,11,1.98,255440086421855,-4991.35908486649
33,11,1.91,9134201093567.29,-10184.0354255687
34,11,1.85,17017615253736.6,-5957.32297952597
35,11,2.01,556100610354756,-4384.10254889197
36,11,1.9,117209695115118,-3374.01734243133
37,11,1.86,49471724639617.4,-3741.99424480484
38,11,2.09,167536942613844,-10925.4357233838
39,11,1.97,7769267583231.9,-13257.8536125652
40,11,2.38,4503171734907164,-15520.0098771783
1,12,2.01,246660627800374,-6411.56447503302
2,12,1.99,152555000677174,-6721.37509543297
3,12,2.19,6459184265072395,-6242.89379289602
4,12,1.97,95280707908138.3,-7006.26487885334
5,12,1.92,53621237485593.6,-6215.20762830417
6,12,2.05,1305748193113723,-4030.83112388388
7,12,1.95,159519194229519,-4831.47537196831
8,12,2.07,424639881733329,-7719.36155084737
9,12,2.03,225536315630383,-7522.88615681179
10,12,2.15,1662597483118147,-7858.69049359062
11,12,2.12,926224064648978,-7989.85585454914
12,12,2.06,807824987181853,-5671.99857049213
13,12,2.03,290261427360871,-6893.64796247256
14,12,2.03,444849000644465,-5828.82740584813
15,12,1.95,172070176366186,-4642.58444893631
16,12,2.03,742592486378540,-4550.87057221233
17,12,2.02,530179961640222,-4947.22417288923
18,12,2.04,482279905191659,-6071.16638288474
19,12,1.88,34489351204634.2,-5533.60100702776
20,12,1.92,67629019214267.3,-5636.37028528882
21,12,1.91,53623481252206.1,-5769.75188163568
22,12,1.95,86491461736929.6,-6358.09904604172
23,12,1.99,332654104028034,-4777.10748291641
24,12,1.92,93134495442908.6,-4838.27166324823
25,12,2.05,454624746533075,-6662.14861342295
26,12,2.16,3652110603577734,-6338.49223007914
27,12,1.97,114596759928964,-6545.89199135074
28,12,2.21,4770731909739163,-7882.32492370672
29,12,2.1,547043065497076,-8417.32636269971
30,12,1.89,20150526755994.6,-7319.67393908887
31,12,2.06,826112398713896,-5616.16937004591
32,12,2.06,446892463124945,-7148.51501590587
33,12,1.98,90433060942186.9,-7581.07373657328
34,12,2.39,60498175650666616,-9480.8453230076
35,12,1.99,78726026095050,-8371.2842630534
36,12,1.82,25114232783409.6,-3647.43038959622
37,12,1.92,169313657759536,-3347.58710858793
38,12,1.95,39528222231531.3,-8310.97785417174
39,12,1.94,7312775623784.94,-12074.3715002462
40,12,2.07,28320175667828.7,-14472.2830510098
1,13,2.06,482215012519782,-6958.7911794409
2,13,2.21,4069585287600624,-8278.7677569076
3,13,2.03,342502367745221,-6480.89949133463
4,13,1.95,26335276275103.2,-9323.80512076458
5,13,2.09,406814063278993,-8712.87775198286
6,13,2.08,1142142444438607,-5695.0894825506
7,13,2.04,570080575390648,-5654.03727741391
8,13,1.99,180636242376823,-6299.98858792917
9,13,1.92,65159640472063.2,-5729.13936174863
10,13,2.01,170016499667617,-7339.62658280415
11,13,2.14,1140159087528151,-8356.95310666649
12,13,2.06,355491224224625,-7719.1856808218
13,13,2.18,1820718775535953,-8958.93269737503
14,13,2.26,9110607489013390,-8476.22214534486
15,13,2,315256693191054,-5355.40137616788
16,13,1.91,84810807094627,-4626.41269311169
17,13,2.05,976317955230974,-4755.94460572819
18,13,1.92,102285778658053,-4604.51899117992
19,13,2.05,740251284340911,-5446.28032702889
20,13,1.83,12004591384867.2,-5934.92328085037
21,13,1.77,4761370107536.92,-5559.82781225679
22,13,2.17,4651834092020878,-6177.32721970795
23,13,1.94,135622103259749,-4791.26934295602
24,13,2.04,413883010539804,-6452.60201254749
25,13,2.09,865924921334068,-6828.80546680877
26,13,2.14,2523582397324257,-6375.44098888585
27,13,1.98,127156302151138,-6731.10073836753
28,13,1.98,250076294178560,-5044.28635061518
29,13,1.9,28831788207813.3,-6871.8175782693
30,13,1.81,6475981481237.94,-6580.93900032932
31,13,1.96,171363683165531,-5097.67904367432
32,13,1.99,184262730006724,-6250.41454894115
33,13,2.03,353974200983449,-6398.73351135856
34,13,2.12,299347120649846,-10806.8596234973
35,13,1.77,2224020821091,-7458.30731539453
36,13,2.08,1680815171451805,-4731.47506854813
37,13,1.74,4180331138474.18,-4541.78864815574
38,13,1.77,57003864787.3537,-16596.2059689662
39,13,1.78,73908347702.876,-16395.7526458762
40,13,1.6,2628249717.32252,-16643.9455817438
1,14,1.98,119767134286741,-6880.41089556107
2,14,2,119917434429339,-7766.06123980824
3,14,1.76,755560793654.528,-9703.46190553892
4,14,1.85,1797202889165.2,-11563.8786074962
5,14,1.89,5587552961498.86,-10518.7002834532
6,14,2.12,840988261196533,-8230.62280898687
7,14,2.07,408247081114370,-7817.5475639011
8,14,2.11,1056473879234277,-7218.84417912457
9,14,1.94,61928504229038.6,-6746.29550103971
10,14,1.99,71861437970573.5,-8598.82188052648
11,14,2.18,1862100093442165,-8902.88359247198
12,14,1.95,46873870028661.2,-7885.88684129812
13,14,1.92,17227048879000.9,-9047.05597543091
14,14,2.16,1497307151646489,-8562.23487195939
15,14,2.29,36249177373724880,-6355.13868758868
16,14,1.89,40488929918714.2,-5579.36529906488
17,14,1.83,17591530121786.9,-4981.89517317154
18,14,2.11,1360442925126243,-6588.17768742186
19,14,2.09,1695902714401275,-5152.4078901983
20,14,2.1,1649160882957490,-5665.21144859218
21,14,2.06,864371133739724,-5503.26252507238
22,14,2.13,1446536111364952,-7320.74625183863
23,14,2.03,610441156210016,-5039.60858163136
24,14,2.2,4523789313764210,-7573.06719136523
25,14,2.18,494935681702857,-12207.5143833482
26,14,2.07,139395328961819,-10497.4966935322
27,14,2.12,1135813015057845,-7481.11025522971
28,14,2.05,466852325262671,-6595.95625255129
29,14,2.01,106809013318054,-8498.97039347285
30,14,2.04,673113730272136,-5239.69261148393
31,14,1.86,39677627958912.2,-4292.20502608248
32,14,2.16,3729761258653779,-6286.02101930833
33,14,2.06,510741786845228,-6815.45088791524
34,14,1.95,97179611316992.8,-6067.51006609249
35,14,1.99,348617142277596,-4660.2110018548
36,14,2.08,1820789633988375,-4531.97657932404
37,14,1.87,12627385081066.9,-7593.64888140692
38,14,2.23,1937462544008547,-11013.0044364889
39,14,1.87,4328604470997.75,-10263.7818394319
40,14,1.84,253373096961.399,-16003.648503704
1,15,2.02,324598791996013,-6170.84682754226
2,15,1.98,78877833951468,-7922.02765120006
3,15,1.85,702190848532.402,-13907.6938024325
4,15,1.8,1115623128174.13,-10520.2701479686
5,15,1.91,28647130231585.2,-7333.32473769215
6,15,1.71,152704359598.553,-11452.1137479473
7,15,1.92,33856947168375,-7361.9513201137
8,15,1.99,124348677148870,-7231.23762932286
9,15,2.14,206169407103045,-12622.2539741077
10,15,1.94,7124493365744.84,-12139.4257118366
11,15,2.13,828532987039207,-8710.57872247347
12,15,2.24,3514741663093032,-9969.0832612719
13,15,1.93,31789406895149,-7964.3219044016
14,15,2.04,206867850713129,-8182.19890258128
15,15,2.24,7824899083140236,-7973.02329859282
16,15,1.8,8624691985090.5,-5419.50108920006
17,15,2.06,883246641225862,-5449.38650365784
18,15,2.25,8753884698730976,-8134.58943756757
19,15,2.16,3301459039598162,-6590.23844575814
20,15,2.1,1660064555024147,-5648.77626939096
21,15,1.75,3227025465233.41,-5634.99347384967
22,15,2.2,4716367624064972,-7469.09496061623
23,15,2.05,305435437554559,-7654.09701788398
24,15,1.91,18183611211336.3,-8466.92895778515
25,15,2.07,229602757884050,-9252.89919749292
26,15,2.13,1439316025823708,-7333.22570681768
27,15,2.08,505968541040466,-7725.67091126608
28,15,2.11,1062977291975373,-7203.53874298057
29,15,2.1,1307304285743044,-6244.56610948013
30,15,1.91,43709105074834.8,-6279.6018496512
31,15,2.08,909874028460863,-6262.11274083152
32,15,2.09,865812278890083,-6829.12991587142
33,15,2.13,1659813686118499,-6977.73758058326
34,15,1.91,22032060911677.2,-7988.13582288501
35,15,2.17,5143272101660746,-5926.86003123349
36,15,1.7,1518523292007.41,-5275.15364139237
37,15,1.96,53189938454341.8,-8015.45665192166
38,15,2.02,52108339357639.2,-10733.033570847
39,15,1.98,66117272837911.5,-8362.14438839322
40,15,2.08,578664580703703,-7390.85513662107
1,16,2.15,1392156870412321,-8301.4425284859
2,16,1.86,7512086752701.78,-8442.90490826668
3,16,1.96,19851878641224.1,-10473.4697461103
4,16,1.51,3556798082.59808,-11833.9709583615
5,16,1.97,16929367243677.7,-11315.3420491377
6,16,2.21,2792699476726254,-9217.83960462634
7,16,2.03,248168680913583,-7284.39119916782
8,16,2.06,407600847123356,-7378.03686658676
9,16,2.06,103796900312225,-10789.460431703
10,16,1.89,5670711224462.77,-10481.8561525412
11,16,2.05,288502333666748,-7796.34292563681
12,16,2.03,278708845936617,-6994.94006801338
13,16,1.81,4019069839745.16,-7770.70091098509
14,16,2.08,304242009940892,-8994.24656878247
15,16,2.16,2477438980851187,-7306.3634768215
16,16,1.94,90139587509246.2,-5810.10057659249
17,16,1.93,140812529637370,-4252.51090506518
18,16,1.98,280401110365221,-4758.8354133524
19,16,2.03,267605585252716,-7096.32983290772
20,16,2.13,2525177214682386,-5931.24050213178
21,16,1.65,920148530380.644,-4280.96392980292
22,16,2.17,802052975750080,-10561.385639
23,16,1.77,380499413222.37,-11861.6822464766
24,16,1.83,1548722428387.58,-11042.2832295715
25,16,1.95,29556077034894.5,-9036.04732182538
26,16,2.11,409158758566209,-9584.62481941453
27,16,2.02,207540410781137,-7286.32289961002
28,16,2.13,1853669469251364,-6702.24581981203
29,16,2,172298541409620,-6862.17274477103
30,16,1.95,108674777337398,-5788.68386229154
31,16,2.09,582745373075889,-7816.54885660992
32,16,2.15,2714455677189818,-6636.10596106754
33,16,2.07,380694847535449,-7991.81444959213
34,16,2.06,259372747353806,-8505.38016759617
35,16,2.18,3103566508826267,-7628.83116544387
36,16,1.9,28580391423709.1,-6893.65920110524
37,16,1.91,103710609815267,-4124.66616739263
38,16,2,138445004435618,-7407.74898971285
39,16,1.95,71422046509450.4,-6835.54817265384
40,16,2.07,1831850671121393,-4073.53119949004
1,17,2.28,4865247848319579,-10922.9228866659
2,17,1.93,36132070593575.2,-7644.97085264132
3,17,2.21,761827708898239,-12457.654181179
4,17,1.69,9236474934.24396,-17551.9572683912
5,17,1.99,52901008082230,-9362.77746902077
6,17,1.97,85026005022444.6,-7290.25716674521
7,17,1.99,185757702175058,-6230.26171114629
8,17,2.02,245241067743647,-6870.03538000288
9,17,2.01,78184499139393.1,-9277.02584338651
10,17,1.77,486508502565.142,-11248.7325066743
11,17,2.17,1699482936430651,-8688.62939575408
12,17,2.06,305671751572736,-8095.75160911027
13,17,2.02,108021449297337,-8914.89557068294
14,17,1.92,25696835867302.4,-8049.73752680914
15,17,1.95,90777587696245.5,-6237.47243943358
16,17,2.03,635203879057083,-4940.4368811626
17,17,1.99,362568390579768,-4562.34940059452
18,17,1.91,106577242281919,-4056.66581258134
19,17,2.17,7656649384608363,-4934.5348454112
20,17,1.94,75183302512399.8,-6262.5876846804
21,17,1.88,63133477068054.7,-4025.72722757176
22,17,2.17,2532437217886753,-7693.8772531815
23,17,1.99,15071533894412.2,-12494.2802888188
24,17,2.02,26931461247427.4,-12379.1479770758
25,17,2.09,28861975034065.2,-15311.5808846767
26,17,2.04,141314952104503,-9132.63508008819
