"br","bc","kappa_std","kappa_avg","nll_std","nll_avg","delta_nll"
3,3,1.92,1.66,-3439.60312732735,-3532.71936492418,-93.116237596827
4,3,1.97,1.7,-3837.21239458726,-3950.83960568624,-113.627211098981
5,3,1.97,1.7,-4949.90417394735,-5066.98264227706,-117.07846832971
6,3,2.02,1.76,-5936.790258494,-6060.50477435392,-123.714515859916
7,3,2.1,1.82,-9220.21370066168,-9307.69641595721,-87.4827152955258
8,3,1.94,1.69,-5907.27337084945,-6042.06173252557,-134.788361676125
9,3,2.19,1.9,-9023.14139116902,-9109.18439342739,-86.0430022583751
10,3,2.15,1.89,-6446.37894416053,-6587.81707351968,-141.438129359143
11,3,2.12,1.85,-5969.8543768744,-6109.69862935925,-139.844252484851
12,3,1.94,1.65,-3728.82047955701,-3824.16330633801,-95.3428267810086
13,3,2,1.73,-6704.4434697823,-6845.29437675382,-140.850906971522
14,3,1.8,1.54,-9918.33869634656,-9967.09220752742,-48.7535111808611
15,3,1.71,1.46,-10622.7729421432,-10675.7003765707,-52.9274344275618
16,3,1.99,1.72,-8354.40160550878,-8475.04143234566,-120.639826836879
17,3,1.79,1.53,-11522.2923499089,-11600.0459205209,-77.7535706120034
18,3,1.79,1.57,-15774.7689139691,-15771.8031902647,2.96572370443755
19,3,1.82,1.58,-13343.8531030138,-13387.1697747808,-43.3166717669883
20,3,1.87,1.63,-13000.238279931,-13077.913169145,-77.6748892140095
